"filename", "language", "Dart", "JSON", "XML", "HTML", "Properties", "YAML", "C++", "Markdown", "Groovy", "Swift", "comment", "blank", "total"
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\fundraiser.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 74
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\fundraiser_details.dart", "Dart", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 198
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\locations.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 99
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\new_fundraiser.dart", "Dart", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 194
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\provider.dart", "Dart", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 164
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\search_fundraiser.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\specific_fundraisers.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\template-choice.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\theme_provider.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\user_details.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\providers\user_stats.dart", "Dart", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 144
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\add_fundraiser\add_contacts_screen.dart", "Dart", 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 383
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\add_fundraiser\add_fundraiser_image.dart", "Dart", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 217
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\add_fundraiser\add_fundraiser_screen.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 68
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\add_fundraiser\form_screen.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 59
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\add_fundraiser\funeral_service_preview_screen.dart", "Dart", 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 395
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\add_fundraiser\funeral_service_screen.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\add_fundraiser\obituary_screen copy.dart", "Dart", 1108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 1138
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\add_fundraiser\obituary_screen.dart", "Dart", 1042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1050
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\auth_screen.dart", "Dart", 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 321
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\dashboard_screen.dart", "Dart", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 122
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\fundraiser_detail_screen.dart", "Dart", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 88
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\fundraisers_screen.dart", "Dart", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 107
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\intro_screen.dart", "Dart", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 98
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\profile_screen.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 100
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\search_results_fundraisers.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\splash_screen.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\screens\tabs_screen.dart", "Dart", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 180
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\add_fundraiser\add_contact_form_widget.dart", "Dart", 514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 519
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\add_fundraiser\decented_info\form_widget.dart", "Dart", 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 527
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\add_fundraiser\decented_info\selected_location_widget.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 38
